"Model","Category","RMSE","MAE","MASE","Theils_U","ME"
"Prophet","2-Wheelers",34990.1981,32112.281,15.2745,0.6617,32112.281
"SARIMA","2-Wheelers",29056.7631,21525.755,10.2389,0.5495,-14267.8421
"STL+ETS","2-Wheelers",27253.9148,23507.8405,11.1817,0.5154,23507.8405
"TBATS","2-Wheelers",46868.6104,43621.7405,20.7491,0.8863,43621.7405
"Prophet","3-Wheelers",20365.6973,18251.7231,5.6291,0.7086,18251.7231
"SARIMA","3-Wheelers",15191.4946,12612.4867,3.8899,0.5286,11606.1545
"STL+ETS","3-Wheelers",20233.7032,16795.3234,5.1799,0.704,16174.5363
"TBATS","3-Wheelers",18259.9514,15048.8401,4.6413,0.6353,13433.4802
"Prophet","4-Wheelers",3171.3652,2679.1529,16.0956,0.7031,2678.886
"SARIMA","4-Wheelers",2516.3587,2149.2085,12.9119,0.5579,-2028.1998
"STL+ETS","4-Wheelers",2586.2633,2064.4085,12.4024,0.5734,2034.591
"TBATS","4-Wheelers",3665.9193,2622.8794,15.7575,0.8128,-2383.5707
