"Model","Category","RMSE","MAE","MASE","Theils_U","ME"
"Prophet","2-Wheelers",38704.9709,34688.4875,16.4999,0.7319,34688.4875
"SARIMA","2-Wheelers",38031.7215,33876.1093,16.1135,0.7192,33876.1093
"STL+ETS","2-Wheelers",39866.1412,35704.5703,16.9832,0.7539,35704.5703
"TBATS","2-Wheelers",36514.4507,32525.0495,15.4708,0.6905,32525.0495
"Prophet","3-Wheelers",10915.3705,9057.5388,2.7935,0.3798,-9057.5388
"SARIMA","3-Wheelers",15191.4947,12612.4868,3.8899,0.5286,11606.1546
"STL+ETS","3-Wheelers",18198.8545,15489.7252,4.7773,0.6332,14848.8065
"TBATS","3-Wheelers",19800.1286,16582.5571,5.1143,0.6889,15940.0471
"Prophet","4-Wheelers",1597.5258,1136.0565,6.8251,0.3542,872.4273
"SARIMA","4-Wheelers",3667.8618,3053.7457,18.3461,0.8132,3042.8835
"STL+ETS","4-Wheelers",3051.7992,2408.52,14.4697,0.6766,2265.81
"TBATS","4-Wheelers",3286.3471,2751.2964,16.529,0.7286,2731.5956
